fish_table_id,anem_table_id,fish_spp,sample_id,recap,tag_id,color,sex,size,fish_obs_time,dive_table_id,anem_obs,anem_obs_time,anem_id,old_anem_id,anem_spp,anem_dia,dive_type,date,site,gps,gen_id,fish_indiv,ligation_id,time_date,lat,lon
1644,1501,APCL,APCL13_595,NA,NA,YP,F,9.7,NA,57,324,14:48:00,324,NA,STME,40,C,2013-06-03,Sitio Baybayon,1,NA,NA,NA,2013-06-03 06:48:00,10.634119,124.776597
1900,1780,APCL,APCL14_033,NA,NA,O,M,10.1,NA,71,76,11:34:00,395,76,HECR,40,C,2014-06-12,Tamakin Dacot,1,NA,NA,NA,2014-06-12 03:34:00,10.6521445,124.78382225
1805,1736,APCL,APCL14_012,NA,NA,W,J,4.6,NA,65,22,09:45:00,22,NA,HECR,25,C,2014-06-10,Poroc San Flower,1,NA,NA,NA,2014-06-10 01:45:00,10.76423775,124.78525775
2127,1895,APCL,APCL14_118,NA,NA,W,J,6.6,NA,76,448,10:33:00,442,NA,HECR,15,C,2014-06-16,Haina,1,NA,NA,NA,2014-06-16 02:33:00,10.64052675,124.78148575
273,248,APCL,APCL12_121,NA,NA,O,M,7.5,NA,10,NA,15:38:00,NA,NA,HECR,40,E,2012-05-09,Wangag,1,NA,NA,L1776,2012-05-09 07:38:00,10.871505,124.714281
273,248,APCL,APCL12_121,NA,NA,O,M,7.5,NA,10,NA,15:38:00,NA,NA,HECR,40,E,2012-05-09,Wangag,1,NA,NA,L2219,2012-05-09 07:38:00,10.871505,124.714281
2303,1994,APCL,APCL14_161,NA,NA,WR,J,4.2,NA,79,488,09:43:00,480,NA,HEAR,10,C,2014-06-17,Palanas,1,NA,NA,NA,2014-06-17 01:43:00,10.87357525,124.7110145
2311,1997,APCL,APCL14_164,NA,NA,YR,J,3.9,NA,79,489,10:00:00,481,NA,HECR,30,C,2014-06-17,Palanas,1,NA,NA,NA,2014-06-17 02:00:00,10.8737355,124.71091875
157,93,APCL,APCL12_080,NA,NA,NA,NA,4.7,NA,8,NA,10:23:00,NA,NA,HECR,15,E,2012-05-09,Palanas,1,NA,NA,L2421,2012-05-09 02:23:00,10.873701,124.71142175
157,93,APCL,APCL12_080,NA,NA,NA,NA,4.7,NA,8,NA,10:23:00,NA,NA,HECR,15,E,2012-05-09,Palanas,1,NA,NA,L2420,2012-05-09 02:23:00,10.873701,124.71142175
1798,1732,APCL,APCL14_010,NA,NA,YR,J,3.9,NA,65,378,09:30:00,378,NA,HECR,20,C,2014-06-10,Poroc San Flower,1,NA,NA,NA,2014-06-10 01:30:00,10.76409925,124.78531725
3089,2577,APCL,APCL14_518,NA,NA,O,M,9.7,NA,101,721,12:46:00,711,NA,HECR,30,C,2014-06-29,San Agustin,1,NA,NA,L2516,2014-06-29 04:46:00,10.76883075,124.7837515
3089,2577,APCL,APCL14_518,NA,NA,O,M,9.7,NA,101,721,12:46:00,711,NA,HECR,30,C,2014-06-29,San Agustin,1,NA,NA,L3591,2014-06-29 04:46:00,10.76883075,124.7837515
2983,2514,APCL,APCL14_472,NA,NA,YP,F,8.4,NA,95,701,13:02:00,691,NA,ENQD,200,C,2014-06-26,Cabatoan,1,NA,NA,L2540,2014-06-26 05:02:00,10.8556535,124.7261595
3081,2573,APCL,APCL14_517,NA,NA,YR,J,4.2,NA,101,720,12:33:00,710,NA,HECR,25,C,2014-06-29,San Agustin,1,NA,NA,L2515,2014-06-29 04:33:00,10.768577,124.783938
3081,2573,APCL,APCL14_517,NA,NA,YR,J,4.2,NA,101,720,12:33:00,710,NA,HECR,25,C,2014-06-29,San Agustin,1,NA,NA,L3592,2014-06-29 04:33:00,10.768577,124.783938
3079,2572,APCL,APCL14_515,NA,NA,YP,F,8.2,NA,101,719,12:26:00,709,NA,HECR,30,C,2014-06-29,San Agustin,1,NA,NA,L2353,2014-06-29 04:26:00,10.768524,124.7839735
3079,2572,APCL,APCL14_515,NA,NA,YP,F,8.2,NA,101,719,12:26:00,709,NA,HECR,30,C,2014-06-29,San Agustin,1,NA,NA,L5518,2014-06-29 04:26:00,10.768524,124.7839735
1807,1737,APCL,APCL14_013,NA,NA,YR,J,3.7,NA,65,380,09:52:00,380,NA,HECR,25,C,2014-06-10,Poroc San Flower,1,NA,NA,NA,2014-06-10 01:52:00,10.764209,124.7852685
1814,1739,APCL,APCL14_016,NA,NA,YR,J,3.6,NA,65,14,10:12:00,14,NA,HECR,60,C,2014-06-10,Poroc San Flower,1,NA,NA,NA,2014-06-10 02:12:00,10.764417,124.78531925
456,381,APCL,APCL12_229,NA,NA,Y,J,4.8,NA,18,NA,09:29:00,NA,NA,HECR,30,E,2012-05-12,San Agustin,1,NA,NA,NA,2012-05-12 01:29:00,10.7688515,124.78380825
3143,2613,APCL,APCL14_537,NA,NA,Y,J,5.2,NA,105,733,11:32:00,723,NA,HECR,10,C,2014-07-01,Poroc Rose,1,NA,NA,L2403,2014-07-01 03:32:00,10.7551065,124.78508525
3143,2613,APCL,APCL14_537,NA,NA,Y,J,5.2,NA,105,733,11:32:00,723,NA,HECR,10,C,2014-07-01,Poroc Rose,1,NA,NA,L5519,2014-07-01 03:32:00,10.7551065,124.78508525
1600,1478,APCL,APCL13_568,NA,NA,O,M,9.4,NA,56,313,13:04:00,313,NA,HECR,30,C,2013-06-03,Sitio Baybayon,1,NA,NA,NA,2013-06-03 05:04:00,10.63366575,124.776795
1101,981,APCL,APCL13_281,NA,NA,BW,J,3,NA,40,160,11:43:10,160,NA,HECR,40,C,2013-05-28,Wangag,1,NA,NA,L0639,2013-05-28 03:43:10,10.87178725,124.71386925
1624,1491,APCL,APCL13_585,NA,NA,YR,J,3.6,NA,57,320,14:11:30,320,NA,HECR,20,C,2013-06-03,Sitio Baybayon,1,NA,NA,NA,2013-06-03 06:11:30,10.63399525,124.7767205
1662,1513,APCL,APCL13_607,NA,NA,YR,J,3.3,NA,59,330,10:55:00,330,NA,HECR,20,C,2013-06-04,Wangag,1,NA,NA,L1320,2013-06-04 02:55:00,10.86994375,124.71586325
1664,1517,APCL,APCL13_608,NA,NA,BW,J,3.3,NA,59,332,11:02:30,332,NA,HECR,25,C,2013-06-04,Wangag,1,NA,NA,NA,2013-06-04 03:02:30,10.86992925,124.71579425
1665,1524,APCL,APCL13_609,NA,NA,W,J,4.2,NA,59,333,11:11:30,333,NA,HECR,15,C,2013-06-04,Wangag,1,NA,NA,L2529,2013-06-04 03:11:30,10.87010625,124.71531325
1691,1573,APCL,APCL13_627,NA,NA,BW,J,2.5,NA,59,348,12:46:30,348,NA,HEAR,10,C,2013-06-04,Wangag,1,NA,NA,NA,2013-06-04 04:46:30,10.8715595,124.7141595
1716,1599,APCL,APCL13_645,NA,NA,YR,J,2.6,NA,60,359,14:26:45,359,NA,HECR,20,C,2013-06-04,Palanas,1,NA,NA,NA,2013-06-04 06:26:45,10.87297175,124.7121265
1221,1213,APCL,APCL13_339,NA,NA,O,M,7.4,NA,42,200,10:15:15,200,NA,ENQD,20,C,2013-05-29,Cabatoan,1,NA,NA,L1306,2013-05-29 02:15:15,10.85598225,124.726325
1221,1213,APCL,APCL13_339,NA,NA,O,M,7.4,NA,42,200,10:15:15,200,NA,ENQD,20,C,2013-05-29,Cabatoan,1,NA,NA,L1692,2013-05-29 02:15:15,10.85598225,124.726325
27,13,APCL,APCL12_017,NA,NA,NA,NA,9.8,NA,3,NA,11:33:00,NA,NA,????,NA,E,2012-05-06,Visca,1,NA,NA,L0008,2012-05-06 03:33:00,10.74328525,124.786845
1758,1697,APCL,APCL13_663,NA,NA,W,J,4,NA,61,371,16:56:00,371,NA,HECR,20,C,2013-06-04,N. Magbangon,1,NA,NA,L1008,2013-06-04 08:56:00,10.8612895,124.72160475
1758,1697,APCL,APCL13_663,NA,NA,W,J,4,NA,61,371,16:56:00,371,NA,HECR,20,C,2013-06-04,N. Magbangon,1,NA,NA,L1726,2013-06-04 08:56:00,10.8612895,124.72160475
1759,1698,APCL,APCL13_664,NA,NA,W,J,3,NA,61,372,16:59:00,372,NA,HECR,25,C,2013-06-04,N. Magbangon,1,NA,NA,L1010,2013-06-04 08:59:00,10.8612835,124.7216395
1759,1698,APCL,APCL13_664,NA,NA,W,J,3,NA,61,372,16:59:00,372,NA,HECR,25,C,2013-06-04,N. Magbangon,1,NA,NA,L1727,2013-06-04 08:59:00,10.8612835,124.7216395
438,369,APCL,APCL12_222,NA,NA,Y,J,3.6,NA,18,NA,08:46:00,NA,NA,HECR,50,E,2012-05-12,San Agustin,1,NA,NA,NA,2012-05-12 00:46:00,10.76838875,124.78402225
440,369,APCL,APCL12_225,NA,NA,O,M,9.9,NA,18,NA,08:46:00,NA,NA,HECR,50,E,2012-05-12,San Agustin,1,NA,NA,NA,2012-05-12 00:46:00,10.76838875,124.78402225
442,371,APCL,APCL12_228,NA,NA,O,M,9.3,NA,18,NA,08:57:00,NA,NA,HECR,30,E,2012-05-12,San Agustin,1,NA,NA,NA,2012-05-12 00:57:00,10.768498,124.783957
446,373,APCL,APCL12_226,NA,NA,Y,J,6.4,NA,18,NA,09:06:00,NA,NA,HECR,50,E,2012-05-12,San Agustin,1,NA,NA,NA,2012-05-12 01:06:00,10.768524,124.78396325
3077,2570,APCL,APCL14_514,NA,NA,W,J,4.1,NA,101,718,12:20:00,708,NA,HECR,30,C,2014-06-29,San Agustin,1,NA,NA,L1298,2014-06-29 04:20:00,10.768485,124.7840045
3077,2570,APCL,APCL14_514,NA,NA,W,J,4.1,NA,101,718,12:20:00,708,NA,HECR,30,C,2014-06-29,San Agustin,1,NA,NA,L1707,2014-06-29 04:20:00,10.768485,124.7840045
3077,2570,APCL,APCL14_514,NA,NA,W,J,4.1,NA,101,718,12:20:00,708,NA,HECR,30,C,2014-06-29,San Agustin,1,NA,NA,L5628,2014-06-29 04:20:00,10.768485,124.7840045
448,375,APCL,APCL12_227,NA,NA,O,M,7.7,NA,18,NA,09:14:00,NA,NA,HECR,30,E,2012-05-12,San Agustin,1,NA,NA,NA,2012-05-12 01:14:00,10.7685775,124.7839005
457,381,APCL,APCL12_230,NA,NA,O,M,8.3,NA,18,NA,09:29:00,NA,NA,HECR,30,E,2012-05-12,San Agustin,1,NA,NA,NA,2012-05-12 01:29:00,10.7688515,124.78380825
1069,931,APCL,APCL13_272,NA,NA,YR,J,3.7,NA,39,152,10:19:15,152,NA,HECR,25,C,2013-05-28,Wangag,1,NA,NA,L0305,2013-05-28 02:19:15,10.8689275,124.71643575
1069,931,APCL,APCL13_272,NA,NA,YR,J,3.7,NA,39,152,10:19:15,152,NA,HECR,25,C,2013-05-28,Wangag,1,NA,NA,L4274,2013-05-28 02:19:15,10.8689275,124.71643575
1349,1319,APCL,APCL13_417,NA,NA,YR,J,4.4,NA,46,243,11:01:00,243,NA,HECR,30,C,2013-05-30,Wangag,1,NA,NA,NA,2013-05-30 03:01:00,10.86951475,124.7161535
467,386,APCL,APCL12_233,NA,NA,O,M,9.6,NA,18,NA,09:58:00,NA,NA,HECR,30,E,2012-05-12,San Agustin,1,NA,NA,NA,2012-05-12 01:58:00,10.768982,124.783656
469,387,APCL,APCL12_234,NA,NA,Y,J,5.3,NA,19,NA,11:28:00,NA,NA,HECR,40,E,2012-05-12,San Agustin,1,NA,NA,NA,2012-05-12 03:28:00,10.76898125,124.7836835
2298,1993,APCL,APCL14_157,NA,NA,YP,F,8.9,NA,79,487,09:40:00,479,NA,HECR,20,C,2014-06-17,Palanas,1,NA,NA,NA,2014-06-17 01:40:00,10.873589,124.7110175
488,400,APCL,APCL12_237,NA,NA,Y,J,4.2,NA,19,NA,12:02:00,NA,NA,HECR,25,E,2012-05-12,San Agustin,1,NA,NA,NA,2012-05-12 04:02:00,10.76875525,124.78387175
489,401,APCL,APCL12_238,NA,NA,O,M,8.6,NA,19,NA,12:08:00,NA,NA,????,NA,E,2012-05-12,San Agustin,1,NA,NA,NA,2012-05-12 04:08:00,10.768647,124.78391825
511,423,APCL,APCL12_248,NA,NA,Y,J,4.5,NA,21,NA,09:18:00,NA,NA,HECR,50,E,2012-05-14,Wangag,1,NA,NA,NA,2012-05-14 01:18:00,10.87161425,124.71390525
441,370,APCL,APCL12_224,NA,NA,O,M,9.2,NA,18,NA,08:57:00,NA,NA,HECR,40,E,2012-05-12,San Agustin,1,NA,NA,NA,2012-05-12 00:57:00,10.768498,124.783957
439,369,APCL,APCL12_223,NA,NA,Y,J,5.6,NA,18,NA,08:46:00,NA,NA,HECR,50,E,2012-05-12,San Agustin,1,NA,NA,NA,2012-05-12 00:46:00,10.76838875,124.78402225
1689,1571,APCL,APCL13_625,NA,NA,YR,J,2.8,NA,59,347,12:41:00,347,NA,HECR,15,C,2013-06-04,Wangag,1,NA,NA,NA,2013-06-04 04:41:00,10.87145725,124.71415525
1687,1570,APCL,APCL13_623,NA,NA,YR,J,2.7,NA,59,346,12:33:00,346,NA,HECR,35,C,2013-06-04,Wangag,1,NA,NA,NA,2013-06-04 04:33:00,10.87148025,124.714177
26,13,APCL,APCL12_001,NA,NA,NA,NA,8.9,NA,3,NA,11:33:00,NA,NA,????,NA,E,2012-05-06,Visca,1,NA,NA,NA,2012-05-06 03:33:00,10.74328525,124.786845
8199,7942,APCL,APCL16_703,N,NA,YR,J,4.8,NA,333,1574,11:08:00,2157,NA,HECR,30,C,2016-06-07,Sitio Baybayon,4,NA,NA,L4790,2016-06-07 03:08:00,10.6327143218,124.776922026675
152,90,APCL,APCL12_065,NA,NA,NA,NA,5.3,NA,8,NA,10:13:00,NA,NA,HEAR,20,E,2012-05-09,Palanas,1,NA,NA,L2262,2012-05-09 02:13:00,10.8737495,124.7112805
152,90,APCL,APCL12_065,NA,NA,NA,NA,5.3,NA,8,NA,10:13:00,NA,NA,HEAR,20,E,2012-05-09,Palanas,1,NA,NA,L5571,2012-05-09 02:13:00,10.8737495,124.7112805
3140,2610,APCL,APCL14_535,NA,NA,Y,J,4.5,NA,105,731,11:19:00,721,NA,HECR,20,C,2014-07-01,Poroc Rose,1,NA,NA,L1294,2014-07-01 03:19:00,10.75581375,124.7855245
3140,2610,APCL,APCL14_535,NA,NA,Y,J,4.5,NA,105,731,11:19:00,721,NA,HECR,20,C,2014-07-01,Poroc Rose,1,NA,NA,L1712,2014-07-01 03:19:00,10.75581375,124.7855245
3111,2587,APCL,APCL14_526,NA,NA,YP,F,8.5,NA,101,724,13:14:00,714,NA,ENQD,20,C,2014-06-29,San Agustin,1,NA,NA,L0970,2014-06-29 05:14:00,10.7693215,124.78357175
3111,2587,APCL,APCL14_526,NA,NA,YP,F,8.5,NA,101,724,13:14:00,714,NA,ENQD,20,C,2014-06-29,San Agustin,1,NA,NA,L1682,2014-06-29 05:14:00,10.7693215,124.78357175
3111,2587,APCL,APCL14_526,NA,NA,YP,F,8.5,NA,101,724,13:14:00,714,NA,ENQD,20,C,2014-06-29,San Agustin,1,NA,NA,L5631,2014-06-29 05:14:00,10.7693215,124.78357175
3124,2595,APCL,APCL14_530,NA,NA,Y,J,6.4,NA,101,726,13:35:00,716,NA,HECR,30,C,2014-06-29,San Agustin,1,NA,NA,L0940,2014-06-29 05:35:00,10.76900125,124.78373725
3124,2595,APCL,APCL14_530,NA,NA,Y,J,6.4,NA,101,726,13:35:00,716,NA,HECR,30,C,2014-06-29,San Agustin,1,NA,NA,L1710,2014-06-29 05:35:00,10.76900125,124.78373725
3124,2595,APCL,APCL14_530,NA,NA,Y,J,6.4,NA,101,726,13:35:00,716,NA,HECR,30,C,2014-06-29,San Agustin,1,NA,NA,L5633,2014-06-29 05:35:00,10.76900125,124.78373725
3101,2584,APCL,APCL14_522,NA,NA,YR,J,3.8,NA,101,722,12:51:00,712,NA,HECR,30,C,2014-06-29,San Agustin,1,NA,NA,L1681,2014-06-29 04:51:00,10.769087,124.78367875
3101,2584,APCL,APCL14_522,NA,NA,YR,J,3.8,NA,101,722,12:51:00,712,NA,HECR,30,C,2014-06-29,San Agustin,1,NA,NA,L0767,2014-06-29 04:51:00,10.769087,124.78367875
3101,2584,APCL,APCL14_522,NA,NA,YR,J,3.8,NA,101,722,12:51:00,712,NA,HECR,30,C,2014-06-29,San Agustin,1,NA,NA,L5630,2014-06-29 04:51:00,10.769087,124.78367875
3070,2566,APCL,APCL14_510,NA,NA,W,J,4.4,NA,101,715,11:52:00,705,NA,MADO,20,C,2014-06-29,San Agustin,1,NA,NA,L1011,2014-06-29 03:52:00,10.7672705,124.78480675
3070,2566,APCL,APCL14_510,NA,NA,W,J,4.4,NA,101,715,11:52:00,705,NA,MADO,20,C,2014-06-29,San Agustin,1,NA,NA,L1704,2014-06-29 03:52:00,10.7672705,124.78480675
3070,2566,APCL,APCL14_510,NA,NA,W,J,4.4,NA,101,715,11:52:00,705,NA,MADO,20,C,2014-06-29,San Agustin,1,NA,NA,L5626,2014-06-29 03:52:00,10.7672705,124.78480675
3057,2553,APCL,APCL14_506,NA,NA,YR,J,4.2,NA,100,712,08:24:00,702,NA,HECR,40,C,2014-06-29,Elementary School,1,NA,NA,L2352,2014-06-29 00:24:00,10.798447,124.76865175
3057,2553,APCL,APCL14_506,NA,NA,YR,J,4.2,NA,100,712,08:24:00,702,NA,HECR,40,C,2014-06-29,Elementary School,1,NA,NA,L5517,2014-06-29 00:24:00,10.798447,124.76865175
3045,2547,APCL,APCL14_501,NA,NA,Y,J,5.6,NA,99,709,12:48:00,699,NA,HECR,30,C,2014-06-28,Hicgop South,1,NA,NA,L1679,2014-06-28 04:48:00,10.809253,124.765346
3045,2547,APCL,APCL14_501,NA,NA,Y,J,5.6,NA,99,709,12:48:00,699,NA,HECR,30,C,2014-06-28,Hicgop South,1,NA,NA,L0766,2014-06-28 04:48:00,10.809253,124.765346
3045,2547,APCL,APCL14_501,NA,NA,Y,J,5.6,NA,99,709,12:48:00,699,NA,HECR,30,C,2014-06-28,Hicgop South,1,NA,NA,L5649,2014-06-28 04:48:00,10.809253,124.765346
3037,2542,APCL,APCL14_495,NA,NA,W,J,4.8,NA,99,706,12:22:00,696,NA,HECR,25,C,2014-06-28,Hicgop South,1,NA,NA,L2513,2014-06-28 04:22:00,10.809252,124.765255
3037,2542,APCL,APCL14_495,NA,NA,W,J,4.8,NA,99,706,12:22:00,696,NA,HECR,25,C,2014-06-28,Hicgop South,1,NA,NA,L3600,2014-06-28 04:22:00,10.809252,124.765255
3033,2540,APCL,APCL14_494,NA,NA,YP,F,8.6,NA,98,705,09:45:00,695,NA,HECR,25,C,2014-06-28,Caridad Cemetery,1,NA,NA,NA,2014-06-28 01:45:00,10.83690875,124.7464175
3029,2534,APCL,APCL14_491,NA,NA,O,M,8.2,NA,98,NA,08:54:00,NA,NA,????,NA,C,2014-06-28,Caridad Cemetery,1,NA,NA,L2461,2014-06-28 00:54:00,10.8363375,124.7467865
47,25,APCL,APCL12_014,NA,NA,NA,NA,9.1,NA,4,NA,14:48:00,NA,NA,HECR,20,E,2012-05-06,Visca,1,NA,NA,L0005,2012-05-06 06:48:00,10.74488825,124.7857505
3001,2517,APCL,APCL14_482,NA,NA,Y,J,4.7,NA,95,702,13:30:00,692,NA,ENQD,100,C,2014-06-26,Cabatoan,1,NA,NA,L2547,2014-06-26 05:30:00,10.8555095,124.7261885
2989,2514,APCL,APCL14_478,NA,NA,YP,F,8.2,NA,95,701,13:02:00,691,NA,ENQD,200,C,2014-06-26,Cabatoan,1,NA,NA,L2543,2014-06-26 05:02:00,10.8556535,124.7261595
2981,2513,APCL,APCL14_469,NA,NA,YP,F,8.5,NA,95,700,12:52:00,690,NA,ENQD,30,C,2014-06-26,Cabatoan,1,NA,NA,L1685,2014-06-26 04:52:00,10.85596525,124.7262855
2981,2513,APCL,APCL14_469,NA,NA,YP,F,8.5,NA,95,700,12:52:00,690,NA,ENQD,30,C,2014-06-26,Cabatoan,1,NA,NA,L0637,2014-06-26 04:52:00,10.85596525,124.7262855
8001,7768,APCL,APCL16_556,N,NA,YR,J,4.3,NA,328,1475,10:51:00,2061,NA,MADO,30,C,2016-06-04,Wangag,3,NA,NA,L4515,2016-06-04 02:51:00,10.869648722,124.715905899625
7993,7763,APCL,APCL16_552,N,NA,YR,J,3.5,NA,328,1863,10:43:00,2481,NA,HECR,35,C,2016-06-04,Wangag,3,NA,NA,L4784,2016-06-04 02:43:00,10.869714687575,124.715942088525
7938,7714,APCL,APCL16_511,NA,NA,W,J,4.4,NA,327,NA,13:00:00,NA,NA,????,NA,C,2016-06-03,Wangag,3,NA,NA,L4510,2016-06-03 05:00:00,10.870967614475,124.7144174832
993,875,APCL,APCL13_218,NA,NA,YP,F,8.8,NA,37,119,12:01:45,119,NA,HECR,25,C,2013-05-27,Palanas,1,NA,NA,L1180,2013-05-27 04:01:45,10.873402,124.712148
993,875,APCL,APCL13_218,NA,NA,YP,F,8.8,NA,37,119,12:01:45,119,NA,HECR,25,C,2013-05-27,Palanas,1,NA,NA,L0253,2013-05-27 04:01:45,10.873402,124.712148
993,875,APCL,APCL13_218,NA,NA,YP,F,8.8,NA,37,119,12:01:45,119,NA,HECR,25,C,2013-05-27,Palanas,1,NA,NA,L5643,2013-05-27 04:01:45,10.873402,124.712148
988,872,APCL,APCL13_215,NA,NA,YR,J,2.8,NA,37,118,11:52:30,118,NA,HECR,15,C,2013-05-27,Palanas,1,NA,NA,L0250,2013-05-27 03:52:30,10.873217,124.71210025
7873,7679,APCL,APCL16_467,N,NA,YR,J,4.6,NA,325,946,13:24:00,2444,934,HECR,30,C,2016-06-02,S. Magbangon,3,NA,NA,L4778,2016-06-02 05:24:00,10.8571284637,124.72490112765
980,867,APCL,APCL13_216,NA,NA,O,M,8.4,NA,36,114,10:57:30,114,NA,HECR,30,C,2013-05-27,Palanas,1,NA,NA,L1178,2013-05-27 02:57:30,10.873354,124.71208275
980,867,APCL,APCL13_216,NA,NA,O,M,8.4,NA,36,114,10:57:30,114,NA,HECR,30,C,2013-05-27,Palanas,1,NA,NA,L0251,2013-05-27 02:57:30,10.873354,124.71208275
978,867,APCL,APCL13_207,NA,NA,YP,F,8.7,NA,36,114,10:57:30,114,NA,HECR,30,C,2013-05-27,Palanas,1,NA,NA,L0444,2013-05-27 02:57:30,10.873354,124.71208275
978,867,APCL,APCL13_207,NA,NA,YP,F,8.7,NA,36,114,10:57:30,114,NA,HECR,30,C,2013-05-27,Palanas,1,NA,NA,L1626,2013-05-27 02:57:30,10.873354,124.71208275
978,867,APCL,APCL13_207,NA,NA,YP,F,8.7,NA,36,114,10:57:30,114,NA,HECR,30,C,2013-05-27,Palanas,1,NA,NA,L0242,2013-05-27 02:57:30,10.873354,124.71208275
978,867,APCL,APCL13_207,NA,NA,YP,F,8.7,NA,36,114,10:57:30,114,NA,HECR,30,C,2013-05-27,Palanas,1,NA,NA,L1024,2013-05-27 02:57:30,10.873354,124.71208275
122,73,APCL,APCL12_054,NA,NA,NA,NA,9.2,NA,8,NA,09:36:00,NA,NA,HECR,40,E,2012-05-09,Palanas,1,NA,NA,L2412,2012-05-09 01:36:00,10.874261,124.7107895
122,73,APCL,APCL12_054,NA,NA,NA,NA,9.2,NA,8,NA,09:36:00,NA,NA,HECR,40,E,2012-05-09,Palanas,1,NA,NA,L4264,2012-05-09 01:36:00,10.874261,124.7107895
976,865,APCL,APCL13_206,NA,NA,O,M,10.2,NA,36,113,10:51:30,113,NA,HECR,60,C,2013-05-27,Palanas,1,NA,NA,L1174,2013-05-27 02:51:30,10.873306,124.71201025
976,865,APCL,APCL13_206,NA,NA,O,M,10.2,NA,36,113,10:51:30,113,NA,HECR,60,C,2013-05-27,Palanas,1,NA,NA,L0241,2013-05-27 02:51:30,10.873306,124.71201025
7793,7576,APCL,APCL16_426,N,NA,YR,J,4.9,NA,323,533,13:20:00,2424,523,HECR,30,C,2016-05-31,N. Magbangon,3,NA,NA,L4680,2016-05-31 05:20:00,10.8612595056,124.721461026925
2865,2412,APCL,APCL14_348,NA,NA,W,J,5.1,NA,91,658,10:38:00,647,NA,HECR,25,C,2014-06-24,Wangag,1,NA,NA,L1349,2014-06-24 02:38:00,10.871654,124.7140345
2865,2412,APCL,APCL14_348,NA,NA,W,J,5.1,NA,91,658,10:38:00,647,NA,HECR,25,C,2014-06-24,Wangag,1,NA,NA,L2532,2014-06-24 02:38:00,10.871654,124.7140345
2857,2407,APCL,APCL14_343,NA,NA,W,J,4.5,NA,91,655,10:21:00,644,NA,HECR,30,C,2014-06-24,Wangag,1,NA,NA,L0610,2014-06-24 02:21:00,10.87157375,124.7139765
2857,2407,APCL,APCL14_343,NA,NA,W,J,4.5,NA,91,655,10:21:00,644,NA,HECR,30,C,2014-06-24,Wangag,1,NA,NA,L3141,2014-06-24 02:21:00,10.87157375,124.7139765
