sheet_index,project_index,project_acc_bioprj,biosample_acc_sra,run_acc_sra,sampleEnteredBy,collectorList,materialSampleID,genus,specificEpithet,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,country,georeferenceProtocol,habitat,microHabitat,environmentalMedium,yearCollected,monthCollected,dayCollected,establishmentMeans,permitInformation,associatedReferences,preservative,derivedGeneticDataType,derivedGeneticDataURI,derivedGeneticDataFormat,derivedGeneticDataFilename,derivedGeneticDataRemarks,phylum,class,order,family,colloquialName,nomenclaturalCode,scientificNameID,infraspecies,lifeStage,sex,otherCatalogNumbers,associatedMedia,samplingProtocol,tissueType,continentOcean,island,maximumDepthInMeters,maximumElevationInMeters,minimumDepthInMeters,minimumElevationInMeters,stateProvince,landOwner,library_selection_sra,library_strat_sra,read_type_sra,sequencing_platform,instrument_model,study_acc_sra,experiment_acc_sra,package_biosamp,dataset_id
0001,M0066,PRJNA563695,SAMN12685932,SRR10062055,Sofia Beskid,Michelle Stuart,APCL13_528_L0666,Amphiprion,Amphiprion clarkii,,,,,,,,,,2013,6,2,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,female,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6795756,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0002,M0066,PRJNA563695,SAMN12743100,SRR10115323,Sofia Beskid,Michelle Stuart,APCL17_591_L3566,Amphiprion,Amphiprion clarkii,,,,,,,,,,2017,6,11,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,male,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6844587,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0003,M0066,PRJNA563695,SAMN12742744,SRR10114435,Sofia Beskid,Michelle Stuart,APCL15_402340_L2921,Amphiprion,Amphiprion clarkii,,,,,,,,,,2015,5,30,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,male,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6844140,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0004,M0066,PRJNA563695,SAMN12685717,SRR10061492,Sofia Beskid,Michelle Stuart,APCL13_234_L0268,Amphiprion,Amphiprion clarkii,,,,,,,,,,2013,5,27,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6795647,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0005,M0066,PRJNA563695,SAMN12686317,SRR10062290,Sofia Beskid,Michelle Stuart,APCL13_557_L1218,Amphiprion,Amphiprion clarkii,,,,,,,,,,2013,6,3,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,male,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6796184,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0006,M0066,PRJNA563695,SAMN12742960,SRR10114886,Sofia Beskid,Michelle Stuart,APCL16_177_L3312,Amphiprion,Amphiprion clarkii,,,,,,,,,,2016,5,18,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,female,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6844361,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0007,M0066,PRJNA563695,SAMN12742474,SRR10114878,Sofia Beskid,Michelle Stuart,APCL15_372649_L2628,Amphiprion,Amphiprion clarkii,,,,,,,,,,2015,6,14,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,male,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6844369,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0008,M0066,PRJNA563695,SAMN12686345,SRR10062259,Sofia Beskid,Michelle Stuart,APCL13_648_L1249,Amphiprion,Amphiprion clarkii,,,,,,,,,,2013,6,4,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6796215,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0009,M0066,PRJNA563695,SAMN12743371,SRR10115093,Sofia Beskid,Michelle Stuart,APCL18_342_L3901,Amphiprion,Amphiprion clarkii,,,,,,,,,,2018,3,16,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,male,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6844817,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0010,M0066,PRJNA563695,SAMN12686432,SRR10062163,Sofia Beskid,Michelle Stuart,APCL12_160_L1778,Amphiprion,Amphiprion clarkii,,,,,,,,,,2012,5,10,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6796311,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0011,M0066,PRJNA563695,SAMN12685722,SRR10062109,Sofia Beskid,Michelle Stuart,APCL13_241_L0274,Amphiprion,Amphiprion clarkii,,,,,,,,,,2013,5,27,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,female,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6795702,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
